s_Q,prob_lead_lifetime
767,3.9018018324948511E-21
768,3.9285508935771775E-20
769,2.2193998973486328E-19
770,9.26438489532395E-19
771,3.1824560131304582E-18
772,9.5169526849964754E-18
773,2.5628709132171247E-17
774,6.354892981726137E-17
775,1.4735983003662945E-16
776,3.2318297154300386E-16
777,6.761088428535054E-16
778,1.35815347365774E-15
779,2.633379082865101E-15
780,4.9492479438620509E-15
781,9.04741493363525E-15
782,1.6132928109176049E-14
783,2.812874789017198E-14
784,4.8053321283160192E-14
785,8.0573560150616285E-14
786,1.3280511300117355E-13
787,2.154577205230736E-13
788,3.4445749041504122E-13
789,5.4322232359073214E-13
790,8.4582418122396867E-13
791,1.3013457051415934E-12
792,1.9798328966081266E-12
793,2.9803649399797219E-12
794,4.4419125923461627E-12
795,6.5578446997322416E-12
796,9.5951764388017051E-12
797,1.3919942324400984E-11
798,2.0030432960562657E-11
799,2.8600469815907743E-11
800,4.0535421817316428E-11
801,5.7044308296244826E-11
802,7.973210418474746E-11
803,1.1071728731346759E-10
804,1.5278076894841628E-10
805,2.0955365499305511E-10
806,2.8575282735244804E-10
807,3.8747514680364853E-10
808,5.2256319764064607E-10
809,7.010579610039984E-10
810,9.35756662120754E-10
811,1.2428973338426965E-09
812,1.6429954250872301E-09
813,2.1618621110106748E-09
814,2.8318388872955432E-09
815,3.6932886109608646E-09
816,4.7963894429300836E-09
817,6.2032852119018884E-09
818,7.9906536129321622E-09
819,1.0252762433842371E-08
820,1.3105093721300082E-08
821,1.668862650470099E-08
822,2.1174880431970551E-08
823,2.6771835470943255E-08
824,3.3730856716499042E-08
825,4.2354768327837144E-08
826,5.3007236697640431E-08
827,6.6123640103084725E-08
828,8.222362026473588E-08
829,1.0192553037695068E-07
830,1.2596301417968504E-07
831,1.5520397139452075E-07
832,1.9067218619296714E-07
833,2.3357191711335758E-07
834,2.8531576876700148E-07
835,3.4755618750767048E-07
836,4.22220944671834E-07
837,5.1155299167737812E-07
838,6.18155090797818E-07
839,7.4503964336361958E-07
840,8.9568415299293433E-07
841,1.0740927746867945E-06
842,1.284864410661458E-06
843,1.5332678200155832E-06
844,1.8253242110876774E-06
845,2.1678977819634169E-06
846,2.5687946653301335E-06
847,3.0368707180153533E-06
848,3.5821485723453637E-06
849,4.2159443351749353E-06
850,4.9510042803371047E-06
851,5.8016518306307675E-06
852,6.7839450656277461E-06
853,7.915844920913409E-06
854,9.2173941623146158E-06
855,1.0710907124735753E-05
856,1.2421170099036214E-05
857,1.4375652131674232E-05
858,1.6604725870480282E-05
859,1.9141897945924619E-05
860,2.2024048220794607E-05
861,2.5291677072667828E-05
862,2.8989159693525479E-05
863,3.3165006200084044E-05
864,3.7872126147939804E-05
865,4.3168095833671582E-05
866,4.9115426553124094E-05
867,5.5781831762943684E-05
868,6.3240490868054562E-05
869,7.1570307132396576E-05
870,8.0856156986387621E-05
871,9.1189127784952674E-05
872,0.00010266674085752875
873,0.00011539315648936508
874,0.00012947935728502142
875,0.00014504330619371313
876,0.00016221007532566057
877,0.00018111194156256166
878,0.00020188844486743919
879,0.00022468640513314579
880,0.00024965989337839058
881,0.00027697015310884312
882,0.00030678546771204781
883,0.00033928096985171295
884,0.00037463838897229139
885,0.00041304573322116782
886,0.00045469690234534291
887,0.00049979122842389609
888,0.00054853294165785468
889,0.000601130558855934
890,0.00065779619272787607
891,0.000718744780626028
892,0.00078419323195890269
893,0.00085435949413553128
894,0.00092946153758345184
895,0.001009716261112412
896,0.0010953383196657142
897,0.0011865388773062407
898,0.0012835242891184521
899,0.0013864947165641505
900,0.0014956426817009959
901,0.0016111515665504081
902,0.0017331940647767863
903,0.0018619305937035788
904,0.0019975076755338944
905,0.0021400562974540054
906,0.0022896902610668921
907,0.0024465045323195682
908,0.0026105736037418609
909,0.0027819498813954008
910,0.0029606621094297723
911,0.0031467138455486886
912,0.0033400820009933897
913,0.0035407154588454125
914,0.003748533784528372
915,0.0039634260423425643
916,0.0041852497316910682
917,0.0044138298563477282
918,0.0046489581396729086
919,0.0048903923981006838
920,0.0051378560845010135
921,0.00539103801216427
922,0.0056495922691657567
923,0.0059131383317496677
924,0.006181261384131418
925,0.006453512850761913
926,0.0067294111456371554
927,0.0070084426416817287
928,0.0072900628615979778
929,0.0075736978898673837
930,0.0078587460038315217
931,0.0081445795199829637
932,0.0084305468497781737
933,0.0087159747574621048
934,0.0090001708105860081
935,0.0092824260121241748
936,0.0095620176013696719
937,0.0098382120091331637
938,0.010110267951199079
939,0.010377439642528597
940,0.010638980113354481
941,0.010894144607105832
942,0.011142194039044779
943,0.011382398493605781
944,0.011614040737713464
945,0.011836419726826034
946,0.012048854080117449
