s_Q,prob_lead_lifetime
1090,3.211955464487736E-07
1091,2.657124543267028E-07
1092,2.1926298403723143E-07
1093,1.8047230335430829E-07
1094,1.4815888629706216E-07
1095,1.2130984133631358E-07
1096,9.9059014806505662E-08
1097,8.0667610107519364E-08
1098,6.550708039297161E-08
1099,5.3044069394965991E-08
1100,4.2827191671271177E-08
1101,3.4475459746796167E-08
1102,2.7668181248303928E-08
1103,2.21361641129205E-08
1104,1.76540822206445E-08
1105,1.4033867310356598E-08
1106,1.1119005755562864E-08
1107,8.7796306823417085E-09
1108,6.908311002184232E-09
1109,5.4164492117858567E-09
1110,4.2312092945535993E-09
1111,3.2929047663207205E-09
1112,2.5527848682602534E-09
1113,1.9711641558021138E-09
1114,1.5158472996251795E-09
1115,1.1608068422207872E-09
1116,8.8507698146056294E-10
1117,6.7183122224012628E-10
1118,5.0761598994915484E-10
1119,3.8171607613594634E-10
1120,2.8563112727118497E-10
1121,2.1264533062407266E-10
1122,1.5747503396983104E-10
1123,1.1598129331477046E-10
1124,8.49363081723944E-11
1125,6.1834408126203069E-11
1126,4.473972623836471E-11
1127,3.2163960849562421E-11
1128,2.2968711800403395E-11
1129,1.6287802268599908E-11
1130,1.1465783363110594E-11
1131,8.0094834599178332E-12
1132,5.5500242350172734E-12
1133,3.8131949200569846E-12
1134,2.5964683067946574E-12
1135,1.7512677768488654E-12
1136,1.1693640653742885E-12
1137,7.7250225201515574E-13
1138,5.0454114020556777E-13
1139,3.2553524289970319E-13
1140,2.073096314281108E-13
1141,1.3017470592869494E-13
1142,8.0505577395910025E-14
1143,4.8972653025816143E-14
1144,2.925908256779803E-14
1145,1.71393754438669E-14
1146,9.8237510728238879E-15
1147,5.4963044214429763E-15
1148,2.9932252679582402E-15
1149,1.5812224449071261E-15
1150,8.0688236085830391E-16
1151,3.9566755245802631E-16
1152,1.85223253664551E-16
1153,8.2075202644178254E-17
1154,3.4039022114223448E-17
1155,1.3009484282998682E-17
1156,4.4813305809815408E-18
1157,1.3449895386610298E-18
1158,3.3248731717482646E-19
1159,6.0784381589449384E-20
1160,6.2406599914198444E-21
